Security,N,Nfield,meanOpen,meanClose,meanHigh,meanLow,meanVolumn
GWW UN EquityFieldData.csv,8066,5,81.26852827,81.31296739,82.04257835,80.51559534,248351.2429
HAL UN EquityFieldData.csv,8065,5,22.65191954,22.64173282,22.9812323,22.29861785,3825725.801
HAS UW EquityFieldData.csv,1769,5,60.77561334,60.77358677,61.29870266,60.22570379,465202.3149
HBAN UW EquityFieldData.csv,8067,5,12.77355091,12.77551749,12.93021598,12.61143274,1352868.911
HBI UN EquityFieldData.csv,2864,5,13.7176772,13.71849075,13.87814141,13.55023006,1193660.255
HCA UN EquityFieldData.csv,1715,5,56.46799417,56.50167347,57.13935452,55.82570729,703568.7434
HCP UN EquityFieldData.csv,8066,5,20.3809139,20.3885112,20.58168916,20.16198237,471463.1686
HD UN EquityFieldData.csv,8060,5,37.31941464,37.32631191,37.68953908,36.94400385,4781442.865
HES UN EquityFieldData.csv,8066,5,34.94181575,34.92968998,35.4102269,34.436789,1301214.883
HIG UN EquityFieldData.csv,5549,5,48.18070378,48.18376953,48.74628393,47.60897666,1179017.153
HII UN EquityFieldData.csv,1707,5,105.1628061,105.2519859,106.103396,104.2724265,83186.93849
HLT UN EquityFieldData.csv,1020,5,53.18923363,53.19279853,53.68871029,52.67239098,485099.4539
HOG UN EquityFieldData.csv,7688,5,31.17375786,31.18118972,31.54111755,30.78729275,1072135.369
HOLX UW EquityFieldData.csv,7013,5,12.82823773,12.8329756,13.00642819,12.63602634,788220.6296
HON UN EquityFieldData.csv,8064,5,42.35972858,42.36625531,42.77228765,41.93651659,1731952.712
HP UN EquityFieldData.csv,8066,5,25.33301821,25.33224539,25.71327472,24.92523898,460136.3311
HPE UN EquityFieldData.csv,555,5,12.06034414,12.08010234,12.21468901,11.93216991,3201685.038
HPQ UN EquityFieldData.csv,8064,5,10.57322237,10.58190377,10.72282386,10.43620696,5686899.835
HRB UN EquityFieldData.csv,8066,5,15.5144722,15.52124742,15.69420511,15.33581041,1258846.291
HRL UN EquityFieldData.csv,7045,5,10.38170437,10.3852259,10.46773713,10.29389164,692698.3543
HRS UN EquityFieldData.csv,8065,5,29.99699534,30.00301141,30.29074241,29.6942871,476923.0857
HSIC UW EquityFieldData.csv,5578,5,29.58100305,29.59334439,29.85245034,29.30232503,796966.0586
